term
abbatia
absis
apsis
absida
absidicula
adyton
aditum
aedes
ecclesiae
altar
altare
altarium
ambo
ambonis
ambulatorium
anologium
ara
ardica
arx
assisterium
aula
basilica
baselica
basileca
basilicula
baptisterium
baptistirium
coenobium
caenobium
caelum
campana
cancellus
capella
capellula
cathedra
chorus
ciborium
cyborium
ciburium
cimborium
ciuorium
claustrum
confessio
conuenticulum
crucifixum
crypta
cripta
cryptella
deambulatorium
domuncula
domus
ecclesia
aecclesia
ecclesiola
fabrica
fabricula
fanum
galilaea
galilea
introitum
lauacrum
machina
memoria
memoriale
monasterium
nauicula
nauis
opus
oraculum
oratorium
oratoriolus
oraturium
ostium
hostium
ostiolum
pulpitum
presbyterium
presbiterium
refectorium
sacellum
sacrarium
sacristia
sanctuarium
secretarium
scriptorium
tabernaculum
templum
trabes
transenna
tribuna
transena
tribunal
triforium
tronus
thronus
xenodochium
exinodochium
scenodochium
xenodochiolum
sinodoxium
sinodochium
