term
aedicula
aedificium
ala
arca
arcus
asser
atrium
balneum
basis
cacumen
caelum
caementum
camera
campanarium
canalis
capitellum
caput
capitium
casa
cella
cellula
cellola
coclea
columna
columnella
confessio
corona
crux
cryptoporticus
cubiculum
culmen
cultus
decor
decus
domus
ebur
epigramma
epistilium
exedra
exedera
exhedra
facies
fastigium
fenestra
fenestrella
figura
foris
fornix
frons
fundamentum
fulmentum
icon
iconica
imago
ianua
ingressus
lacunar
lampas
lar
laquear
latus
lauacrum
lignum
limen
locus
loculus
lychnus
manica
manicha
matricula
matricola
matricus
matricum
murus
musiuum
opus
ornamentum
ornatus
ostium
paradisus
paries
pars
pauimentum
penetrale
pictura
pictor
pila
pilare
pilarium
pinna
pigna
penna
penia
pena
philacterium
theca reliquiarum
pinnaculum
plumbum
podium
pogium
pugium
pugum
pojum
porta
portella
porticus
postes
posticum
prospectus ecclesiae
puteus
quadriporticus
reliquiae
saepes
sepes
saeptum
septum
salutatorium
sarcophagus
saxum
scalae
stagnum
sepulchrum
sepulcrum
sepultura
solium
spatium
tabula
tabulatum
tignum
titulus
triporticus
turris
recessus
salutatorium
sepulcrum
solum
tabella
tabula
tectum
tectura
tegmen
tegula
tego
